You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy bengali riverbank village with glowing water and clay ground, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, mystical indian temple courtyard with ornate carvings and soft golden light, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, south asian monsoon battlefield with wet earth and lush greenery, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy desert bazaar ruins with magical fabrics and glowing lamps, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, middle eastern ancient courtyard with marble floor and arcane patterns, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, arabian night oasis with glowing water and soft sand textures, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy persian palace courtyard with intricate tilework and magical light, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, mughal inspired garden battlefield with symmetrical paths and glowing flora, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, south indian stone temple ruins with moss and magical carvings, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, himalayan monastery courtyard with stone floor and misty mountains, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy tibetan plateau with prayer flags and glowing winds, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
